especievalida,nombrecomun,estadomapa,claveestadomapa,municipiomapa,clavemunicipiomapa,localidad,region,longitud,latitud
Asio flammeus,"búho cuerno corto, búho sabanero",BAJA CALIFORNIA,02,ENSENADA,02001,"(30.0328,-114.5803)",MEXICO / BAJA CALIFORNIA / ENSENADA,-114.580252,30.032752
Asio clamator,"búho cara blanca, búho cara clara",AGUASCALIENTES,01,EL LLANO,01010,"Mexico, Nord-Amerika",MEXICO,-102,22
Artemisiospiza nevadensis,zacatonero de artemisas,BAJA CALIFORNIA,02,MEXICALI,02002,Río Colorado - RC12-8,MEXICO / BAJA CALIFORNIA / MEXICALI,-115.2137928,32.1643962
Artemisiospiza belli,zacatonero californiano,BAJA CALIFORNIA,02,SAN QUINTIN,02006,"22971, Ensenada MX-BC  (30.4619,-115.9963)",MEXICO / BAJA CALIFORNIA / ENSENADA,-115.996292,30.461875
Arremonops rufivirgatus,rascador oliváceo,CAMPECHE,04,CAMPECHE,04002,19.751x-90.52 - 09/07/2017 9:58 a. m.,MEXICO / CAMPECHE / CAMPECHE,-90.5195522,19.7506027
Arremonops chloronotus chloronotus,rascador dorso verde,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cafetal9,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3075,16.1900278
Arremonops chloronotus,rascador dorso verde,CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Arremon virenticeps,"atlapetes rayas verdes, rascador cejas verdes",CIUDAD DE MEXICO,09,LA MAGDALENA CONTRERAS,09008,Los Dinamos,MEXICO / CIUDAD DE MEXICO / LA MAGDALENA CONTRERAS,-99.2566708,19.2950638
Arremon brunneinucha,"atlapetes gorra castaña, rascador gorra castaña",CHIAPAS,07,SAN FERNANDO,07079,"Berriozábal, 12 Km al N",MEXICO / CHIAPAS / SAN FERNANDO,-93.2736111,16.8694444
Arremon aurantiirostris,rascador pico naranja,CHIAPAS,07,PALENQUE,07065,"Palenque, MX-CH, MX",MEXICO / CHIAPAS / PALENQUE,-92.0529716,17.485805
Arenaria melanocephala,vuelvepiedras negro,BAJA CALIFORNIA,02,ENSENADA,02001,La Bufadora,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.7229718,31.7237458
Arenaria interpres,vuelvepiedras rojizo,BAJA CALIFORNIA,02,ENSENADA,02001,"Lengüeta Arenosa, B.C., México",MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6316103,31.7554732
Ardenna tenuirostris,pardela cola corta,BAJA CALIFORNIA,02,TIJUANA,02004,Mirador Puente La Joya,MEXICO / BAJA CALIFORNIA / TIJUANA,-117.1228409,32.4855862
Ardenna pacifica,pardela cola cuña,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,Punta Arena,MEXICO / BAJA CALIFORNIA SUR / LOS CABOS,-109.47348,23.5540365
Ardenna grisea,pardela gris,BAJA CALIFORNIA,02,ENSENADA,02001,"Unnamed Road, Baja California, MX (30.956, -116.319)",MEXICO / BAJA CALIFORNIA / ENSENADA,-116.3187894,30.9555449
Ardenna gravis,pardela mayor,QUINTANA ROO,23,OTHON P. BLANCO,23004,Mahahual,MEXICO / QUINTANA ROO / OTHON P. BLANCO,-87.708,18.7159999
Ardenna creatopus,pardela patas rosadas,BAJA CALIFORNIA,02,ENSENADA,02001,Banda Point; 3 mi off,MEXICO / BAJA CALIFORNIA,-116.5935,31.72173
Ardenna carneipes,pardela patas pálidas,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,Punta Arena,MEXICO / BAJA CALIFORNIA SUR / LOS CABOS,-109.47348,23.5540365
Ardenna bulleri,pardela de Buller,BAJA CALIFORNIA,02,ENSENADA,02001,La Bufadora,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.7228216,31.7240697
Ardea herodias santilucae,garza morena,SONORA,26,CAJEME,26018,LAGUNA TOBARI,MEXICO / SONORA,-110,27.09
Ardea herodias herodias,garza morena,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,San José del Cabo,MEXICO / BAJA CALIFORNIA SUR,-109.69,23.055
Ardea herodias,garza morena,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Ardea alba egretta,garza blanca,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,Cabo San Lucas,MEXICO / BAJA CALIFORNIA SUR,-109.9166667,22.8833333
Ardea alba,garza blanca,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Archilochus colubris,colibrí garganta rubí,AGUASCALIENTES,01,JESUS MARIA,01005,Cerro del Muerto,MEXICO / AGUASCALIENTES / JESUS MARIA,-102.4310732,21.8733673
Archilochus alexandri,colibrí barba negra,AGUASCALIENTES,01,AGUASCALIENTES,01001,Jardín San Marcos,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.303083,21.87973
Aramus guarauna dolosus,carao,CHIAPAS,07,OCOSINGO,07059,LAGUNA OCOTAL,MEXICO / CHIAPAS,-91.4366667,16.8116667
Aramus guarauna,carrao,CAMPECHE,04,CARMEN,04003,"Villahermosa - Ciudad del Carmen, Nuevo Progreso, Campeche, MX (18.621, -92.092)",MEXICO / CAMPECHE / CARMEN,-92.09223,18.6205508
Aramides axillaris,"rascón cuello canela, rascón cuello rufo",CAMPECHE,04,CALAKMUL,04010,Reserva de la Biosfera Calakmul--Zona Arqueológica Hormiguero,MEXICO / CAMPECHE / CALAKMUL,-89.4907236,18.4086194
Aramides albiventris,rascón nuca canela,CAMPECHE,04,CALAKMUL,04010,Reserva de la Biosfera Calakmul--Humedal,MEXICO / CAMPECHE / CALAKMUL,-89.3328902,18.5042572
Ara militaris,guacamaya verde,CHIAPAS,07,ARRIAGA,07009,"PUNTA LIN, LA GLORIA, ARRIAGA",MEXICO / CHIAPAS,-94.0683333,16.1433333
Ara macao,guacamaya roja,CAMPECHE,04,CALKINI,04001,Mexico - Ria Celestun,MEXICO,-90.3804016,20.8459583
Aquila chrysaetos,águila real,AGUASCALIENTES,01,RINCON DE ROMOS,01007,PAbellon de SAn Blass,MEXICO / AGUASCALIENTES / RINCON DE ROMOS,-102.3505211,22.1796162
Aphelocoma woodhouseii,chara de collar,AGUASCALIENTES,01,ASIENTOS,01002,Cerro del Chiquihuite,MEXICO / AGUASCALIENTES / ASIENTOS,-102.2102389,22.1145688
Aphelocoma wollweberi arizonae,chara de Wollweber,CHIHUAHUA,08,NUEVO CASAS GRANDES,08050,Nuevo Casas Grandes,MEXICO / CHIHUAHUA,-107.9166667,30.4166667
Aphelocoma wollweberi,chara pecho gris,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,3 km E La Congoja,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.53333,22.16667
Aphelocoma unicolor unicolor,chara unicolor,CHIAPAS,07,OCOSINGO,07059,"OCOSINGO, PALMA REAL",MEXICO / CHIAPAS,-92.0933333,16.9016667
Aphelocoma unicolor oaxacae,chara unicolor,OAXACA,20,MATIAS ROMERO AVENDAÑO,20057,MOCTUM (MT. ZEMPOALTEPEC),MEXICO / OAXACA,-95,17.2166667
Aphelocoma unicolor guerrerensis,chara unicolor,GUERRERO,12,ATOYAC DE ALVAREZ,12011,"El Iris, 3 km NE Puerto El Gallo",MEXICO / GUERRERO,-100.2,17.4833333
Aphelocoma unicolor concolor,chara unicolor,HIDALGO,13,TLANCHINOL,13073,5 KM E TLANCHINOL,MEXICO / HIDALGO,-98.6066667,20.985
Aphelocoma unicolor,chara unicolor,CHIAPAS,07,LA TRINITARIA,07099,Cinco Lagos,MEXICO / CHIAPAS / LA TRINITARIA,-91.6779678,16.1108492
Aphelocoma ultramarina ultramarina,chara pecho gris,CIUDAD DE MEXICO,09,TLALPAN,09012,"LA CIMA, LIMITE DEL ESTADO EN EL S",MEXICO / DISTRITO FEDERAL,-99.1983333,19.1033333
Aphelocoma ultramarina colimae,chara pecho gris,JALISCO,14,TUXPAN,14108,LOS MASOS,MEXICO / JALISCO,-103.5333333,19.57
Aphelocoma ultramarina,"chara pecho gris neovolcánica, chara transvolcánica",CIUDAD DE MEXICO,09,TLALPAN,09012,Carretera Ciudad de México-Cuernavaca--La Cima I,MEXICO / CIUDAD DE MEXICO / TLALPAN,-99.1948271,19.1117179
Aphelocoma coerulescens,chara de Florida,BAJA CALIFORNIA,02,SAN QUINTIN,02006,"MELING RANCH = RANCHO SAN JOSE, 150 MI S TIJUANA",MEXICO / BAJA CALIFORNIA,-115.7333333,30.9666667
Aphelocoma californica obscura,chara occidental,BAJA CALIFORNIA,02,ENSENADA,02001,"VALLE DE LA TRINIDAD, EXTREME WESTERN END",MEXICO / BAJA CALIFORNIA,-115.7666667,31.3883333
Aphelocoma californica hypoleuca,chara occidental,BAJA CALIFORNIA,02,SAN QUINTIN,02006,9 MI N PUNTA PRIETA,MEXICO / BAJA CALIFORNIA,-114.1733333,29.0366667
Aphelocoma californica californica,chara occidental,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,La Laguna,MEXICO / BAJA CALIFORNIA SUR,-109.6016667,23.0883333
Aphelocoma californica cactophila,chara occidental,BAJA CALIFORNIA,02,SAN QUINTIN,02006,3 MI N PUNTA PRIETA,MEXICO / BAJA CALIFORNIA,-114.105,28.9616667
Aphelocoma californica,chara californiana,BAJA CALIFORNIA,02,ENSENADA,02001,Cañon de 4 Milpas,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6790193,31.8921262
Antrostomus vociferus,tapacaminos cuerporruín norteño,BAJA CALIFORNIA SUR,03,LA PAZ,03003,"Reserva de la biosfera Sierra de La Laguna, Valle de La Laguna",MEXICO / BAJA CALIFORNIA SUR / LA PAZ,-109.9790555,23.6468055
Antrostomus salvini,"tapacamino ticuer, tapacaminos ticurú",CHIAPAS,07,OCOSINGO,07059,"29952, Ocosingo MX-CHIS (16.9801,-91.5849)",MEXICO / CHIAPAS / OCOSINGO,-91.584886,16.980111
Antrostomus ridgwayi,"tapacamino tu-cuchillo, tapacaminos tucuchillo",AGUASCALIENTES,01,PABELLON DE ARTEAGA,01006,"Arroyo Santiago, Pab, Ags",MEXICO / AGUASCALIENTES / PABELLON DE ARTEAGA,-102.3480939,22.1232519
Antrostomus carolinensis,"tapacamino de Carolina, tapacaminos de carolina",CAMPECHE,04,CHAMPOTON,04004,"Miguel Colorado, 2 km. al Sureste del Poblado",MEXICO / CAMPECHE / CHAMPOTON,-90.6366667,18.7694444
Antrostomus badius,"tapacamino huil, tapacaminos yucateco",CAMPECHE,04,CALAKMUL,04010,Reserva de la Biosfera Calakmul--Zona Arqueológica Hormiguero,MEXICO / CAMPECHE / CALAKMUL,-89.4907236,18.4086194
Antrostomus arizonae,tapacaminos cuerporruín mexicano,AGUASCALIENTES,01,PABELLON DE ARTEAGA,01006,"Arroyo Santiago, Pab, Ags",MEXICO / AGUASCALIENTES / PABELLON DE ARTEAGA,-102.3480939,22.1232519
Antigone canadensis,grulla gris,BAJA CALIFORNIA,02,SAN QUINTIN,02006,BCN - SE bay/wetland,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.932317,30.4076294
Anthus spragueii,bisbita llanera,AGUASCALIENTES,01,EL LLANO,01010,Meseta Palo Alto,MEXICO / AGUASCALIENTES / EL LLANO,-101.8833333,21.9166667
Anthus rubescens,"bisbita de agua, bisbita norteamericana",AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Anthus hodgsoni,bisbita de oriente,BAJA CALIFORNIA,02,SAN QUINTIN,02006,Rancho Santa Inés,MEXICO / BAJA CALIFORNIA / ENSENADA,-114.6964388,29.7290952
Anthus cervinus,bisbita garganta roja,BAJA CALIFORNIA,02,SAN QUINTIN,02006,laguna south of Jaraguay,MEXICO / BAJA CALIFORNIA / ENSENADA,-114.5736909,29.6066679
Anthracothorax prevostii prevostii,colibrí garganta negra,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Anthracothorax prevostii,colibrí garganta negra,CAMPECHE,04,CALKINI,04001,"MX-Campeche - 20.441x-90.009 - May. 13, 2017 7:03 PM",MEXICO / CAMPECHE / CALKINI,-90.0092603,20.4414038
Anser rossii,ganso de Ross,BAJA CALIFORNIA,02,ENSENADA,02001,Maneadero Estanque Suroeste,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.62287,31.710988
Anser caerulescens,ganso blanco,AGUASCALIENTES,01,AGUASCALIENTES,01001,Parque Rodolfo Landeros Gallegos,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2878432,21.8507445
Anser albifrons gambeli,ganso careto-mayor,CHIHUAHUA,08,MADERA,08040,Chuhuichupa,MEXICO / CHIHUAHUA,-108.4,29.6166667
Anser albifrons frontalis,ganso careto-mayor,SONORA,26,CAJEME,26018,CAJEME  (CIUDAD OBREGóN),MEXICO / SONORA,-109.9466667,27.4966667
Anser albifrons albifrons,ganso careto-mayor,GUANAJUATO,11,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,11014,"SAN PEDRO, 5 MI O DOLORES HIDALGO",MEXICO / GUANAJUATO,-101.0666667,21.155
Anser albifrons,ganso careto mayor,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,"San José de Gracia, Ags., México",MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.4500846,22.1584269
Anous stolidus,"charrán café, charrán-bobo café",BAJA CALIFORNIA SUR,03,LA PAZ,03003,Puerto Ilusión,MEXICO / BAJA CALIFORNIA SUR / LA PAZ,-110.3191581,24.1611324
Anous minutus,"charrán corona blanca, charrán-bobo negro",QUINTANA ROO,23,SOLIDARIDAD,23008,Grand Palladium Colonial Resort,MEXICO / QUINTANA ROO / SOLIDARIDAD,-87.2861195,20.4436616
Anhinga anhinga,anhinga americana,CAMPECHE,04,CAMPECHE,04002,"Vía sin nombre, Campeche, MX (19.759, -90.466)",MEXICO / CAMPECHE / CAMPECHE,-90.4658149,19.7588686
Anas platyrhynchos,pato de collar,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Rodolfo Landeros Gallegos, 20290 Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2875021,21.8514673
Anas fulvigula,pato tejano,CHIHUAHUA,08,JIMENEZ,08036,"LAGUNA PALOMAS, 3 MI S DE LA LINEA ENTRE NUEVO Y VIEJO MEXICO",MEXICO / CHIHUAHUA,-103.8916667,26.8133333
Anas diazi,pato mexicano,MICHOACAN DE OCAMPO,16,PATZCUARO,16066,Entre Tzipecua y Huecorio,MEXICO / MICHOACAN DE OCAMPO / PATZCUARO,-101.6294444,19.5469444
Anas crecca carolinensis,cerceta común de lista Verde,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Desarrollo Especial Parque Ecológico el Cedazo, Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2595553,21.8675852
Anas crecca,cerceta alas verdes,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Anas acuta,pato golondrino,AGUASCALIENTES,01,RINCON DE ROMOS,01007,Presa de San Blas,MEXICO / AGUASCALIENTES / RINCON DE ROMOS,-102.3467445,22.1792983
Anabacerthia variegaticeps variegaticeps,breñero cejudo,CHIAPAS,07,LA TRINITARIA,07099,"Santa Rosa, Comitán",MEXICO / CHIAPAS,-92,15.9533333
Anabacerthia variegaticeps,"breñero cejudo, musguero trepador",CHIAPAS,07,UNION JUAREZ,07105,Camino Talquian-Chiquihuites,MEXICO / CHIAPAS / UNION JUAREZ,-92.085257,15.086542
Amphispizopsis quinquestriata,zacatonero cinco rayas,AGUASCALIENTES,01,CALVILLO,01003,"Calvillo, Ags., México",MEXICO / AGUASCALIENTES / CALVILLO,-102.840121,21.8207677
Amphispiza bilineata,zacatonero garganta negra,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Ammospiza nelsoni,"gorrión cola aguda de Nelson, gorrión de Nelson",BAJA CALIFORNIA,02,SAN QUINTIN,02006,"Estero Guerrero Negro at 28.03077, -114.10656",MEXICO / BAJA CALIFORNIA / ENSENADA,-114.10656,28.030772
Ammospiza maritima,gorrión costero,TAMAULIPAS,28,MATAMOROS,28022,Boca Chica (Tamaulipas),MEXICO / TAMAULIPAS / MATAMOROS,-97.1484947,25.9482821
Ammospiza leconteii,gorrión de Le Conte,COAHUILA DE ZARAGOZA,05,SABINAS,05028,"SABINAS,",MEXICO / COAHUILA DE ZARAGOZA,-101.12,27.8666667
Ammodramus savannarum pratensis,gorrión chapulín,GUERRERO,12,CHILPANCINGO DE LOS BRAVO,12029,Chilpancingo,MEXICO / GUERRERO,-99.5,17.55
Ammodramus savannarum perpallidus,gorrión chapulín,CHIHUAHUA,08,ASCENSION,08005,LAGO SANTA MARIA,MEXICO / CHIHUAHUA,-107.2833333,31.1333333
Ammodramus savannarum bimaculatus,gorrión chapulín,GUERRERO,12,CHILPANCINGO DE LOS BRAVO,12029,Chilpancingo,MEXICO / GUERRERO,-99.5,17.55
Ammodramus savannarum,gorrión chapulín,AGUASCALIENTES,01,PABELLON DE ARTEAGA,01006,"Garabato, Pabellón de Arteaga, Ags.",MEXICO / AGUASCALIENTES / PABELLON DE ARTEAGA,-102.3932962,22.0445108
Ammodramus caudacutus,gorrión cola aguda,BAJA CALIFORNIA,02,SAN QUINTIN,02006,Bahía San Quintín,MEXICO / BAJA CALIFORNIA,-115.9833333,30.45
Amblycercus holosericeus holosericeus,cacique pico claro,CAMPECHE,04,ESCARCEGA,04009,Matamoros,MEXICO / CAMPECHE,-90.6466667,18.58
Amblycercus holosericeus,cacique pico claro,CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Amazona xantholora,loro yucateco,CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Amazona viridigenalis,loro tamaulipeco,CIUDAD DE MEXICO,09,ALVARO OBREGON,09010,"Donado por la Facultad de Medicina Veterinaria y Zootecnia, UNAM",MEXICO / DISTRITO FEDERAL / ALVARO OBREGON,-99.2042219,19.3901941
Amazona oratrix oratrix,loro cabeza amarilla,SAN LUIS POTOSI,24,EBANO,24016,Ebano,MEXICO / SAN LUIS POTOSI,-98.3783333,22.2116667
Amazona oratrix,loro cabeza amarilla,CAMPECHE,04,CALAKMUL,04010,"Unión 20 de Junio (La Mancolona), 0.8 km al NorOeste del Poblado",MEXICO / CAMPECHE / CALAKMUL,-89.3011111,18.8144444
Amazona finschi,loro corona lila,CHIAPAS,07,OCOZOCOAUTLA DE ESPINOSA,07061,El Guayabo,MEXICO / CHIAPAS / OCOZOCOAUTLA DE ESPINOSA,-93.4055556,16.6247222
Amazona farinosa guatemalae,loro corona azul,CHIAPAS,07,OCOSINGO,07059,500 m adelante de la desviación a Ixcán sobre la carretera,MEXICO / CHIAPAS / OCOSINGO,-91.0876944,16.0834722
Amazona farinosa,loro corona azul,CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Amazona autumnalis autumnalis,loro cachete amarillo,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Amazona autumnalis,loro cachetes amarillos,BAJA CALIFORNIA,02,ENSENADA,02001,Ensenada Centro -- Alvarado y 9a.,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6191703,31.869609
Amazona auropalliata auropalliata,loro nuca amarilla,CHIAPAS,07,MARAVILLA TENEJAPA,07115,RodulfoF4,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3065833,16.2008333
Amazona auropalliata,loro nuca amarilla,CHIAPAS,07,MAZATAN,07054,Ruiz Cortines,MEXICO / CHIAPAS / MAZATAN,-92.4592527,14.8590219
Amazona albifrons saltuensis,loro frente blanca,SINALOA,25,CHOIX,25007,Descanso,MEXICO / SINALOA,-108.3866667,26.9316667
Amazona albifrons nana,loro frente blanca,CAMPECHE,04,ESCARCEGA,04009,Matamoros,MEXICO / CAMPECHE,-90.6466667,18.58
Amazona albifrons albifrons,loro frente blanca,GUERRERO,12,ACAPULCO DE JUAREZ,12001,ACAPULCO,MEXICO / GUERRERO,-99.9166667,16.85
Amazona albifrons,loro frente blanca,BAJA CALIFORNIA,02,SAN QUINTIN,02006,"Resguarde aves domésticas SEDESOL. Rancho El Maguey km 46 carr. Tijuana-Ensenada, Rosarito, B.C.",MEXICO / BAJA CALIFORNIA / ENSENADA,-115.6915608,30.08711
Amazilia yucatanensis yucatanensis,colibrí yucateco,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada5,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3085,16.2022778
Amazilia yucatanensis,"colibrí vientre canelo, colibrí yucateco",CAMPECHE,04,CARMEN,04003,Parque Arcila,MEXICO / CAMPECHE / CARMEN,-91.7879568,18.6512637
Amazilia tzacatl tzacatl,colibrí cola rojiza,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Amazilia tzacatl,"colibrí cola canela, colibrí cola rojiza",CAMPECHE,04,CALAKMUL,04010,"Camino / Ramal a Dos Lagunas, Campeche, MX (17.884, -89.337)",MEXICO / CAMPECHE / CALAKMUL,-89.3372508,17.8837125
Amazilia rutila,"colibrí canela, colibrí canelo",CAMPECHE,04,CAMPECHE,04002,"Bellavista (Ampliación), 24020 Campeche, Camp., México",MEXICO / CAMPECHE / CAMPECHE,-90.5115535,19.8548785
Amaurospiza concolor relicta,semillero azul,CHIAPAS,07,SOCOLTENANGO,07083,SOCOLTENANGO,MEXICO / CHIAPAS,-92.35,16.2433333
Amaurospiza concolor,"semillero azul, semillero azulgris",CHIAPAS,07,LA TRINITARIA,07099,PN Lagunas de Montebello--Sendero Laguna Pojoj,MEXICO / CHIAPAS / LA TRINITARIA,-91.6739065,16.0997026
Amaurolimnas concolor guatemalensis,rascón café,OAXACA,20,ACATLAN DE PEREZ FIGUEROA,20002,"RANCHO CARACOL, 30 MI S TEZANAPA",MEXICO / OAXACA,-96.6833333,18.3833333
Amaurolimnas concolor castaneus,rascón café,OAXACA,20,SAN JUAN COTZOCON,20190,"TUTLA, 20 MILES WEST OF TOLOSA",MEXICO / OAXACA,-95.7333333,17.1833333
Amaurolimnas concolor,"rascón café, rascón canelo",CHIAPAS,07,ARRIAGA,07009,"PUNTA LIN, LA GLORIA, ARRIAGA",MEXICO / CHIAPAS,-94.0683333,16.1433333
Aix sponsa,pato arcoíris,AGUASCALIENTES,01,AGUASCALIENTES,01001,El Sabinal,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3739529,21.7539196
Aimophila ruficeps,"zacatonero corona canela, zacatonero corona rufa",AGUASCALIENTES,01,AGUASCALIENTES,01001,Microcuenca y Bosque Cobos,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2542191,21.8121742
Aimophila rufescens,"zacatonero canelo, zacatonero rojizo",CHIAPAS,07,SAN FERNANDO,07079,"El Sumidero, Chiapas., Mexico",MEXICO / CHIAPAS / SAN FERNANDO,-93.1104664,16.8479447
Aimophila notosticta,zacatonero oaxaqueño,OAXACA,20,SANTA CATARINA IXTEPEJI,20363,Off Hwy 175,MEXICO / OAXACA / DISTRITO IXTLAN,-96.5470362,17.2867871
Agelaius tricolor,tordo tricolor,BAJA CALIFORNIA,02,TIJUANA,02004,TIJUANA (E OF; CARRIZO VALLEY),MEXICO / BAJA CALIFORNIA,-117.0033333,32.5333333
Agelaius phoeniceus,tordo sargento,AGUASCALIENTES,01,AGUASCALIENTES,01001,Presa del Niagara,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.372365,21.8045317
Agamia agami,garza agami,CAMPECHE,04,CARMEN,04003,"Campeche, MX (18.343, -91.716)",MEXICO / CAMPECHE / CARMEN,-91.716385,18.3426141
Aeronautes saxatalis saxatalis,vencejo pecho blanco,BAJA CALIFORNIA,02,ENSENADA,02001,"AGUA CALIENTE, COLORADO DESERT",MEXICO / BAJA CALIFORNIA,-116.4033333,31.8366667
Aeronautes saxatalis nigrior,vencejo pecho blanco,CHIAPAS,07,TZIMOL,07104,15 KMS. SO COMITáN,MEXICO / CHIAPAS,-92.1833333,16.1833333
Aeronautes saxatalis,vencejo pecho blanco,AGUASCALIENTES,01,RINCON DE ROMOS,01007,PAbellon de SAn Blass,MEXICO / AGUASCALIENTES / RINCON DE ROMOS,-102.3505211,22.1796162
Aegolius ridgwayi,"tecolote canelo, tecolote oyamelero sureño",CHIAPAS,07,YAJALON,07109,Cerro Acabalná,MEXICO / CHIAPAS / YAJALON,-92.4166667,17.1666667
Aegolius acadicus,"tecolote afilador, tecolote oyamelero norteño",BAJA CALIFORNIA,02,ENSENADA,02001,PN Sierra de San Pedro Mártir,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.45644,30.93661
Aechmophorus occidentalis ephemeralis,achichilique pico amarillo,CHIHUAHUA,08,MEOQUI,08045,LAGUNA BOQUILLA DE CONCHOS,MEXICO / CHIHUAHUA,-105.4833333,28.2666667
Aechmophorus occidentalis,achichilique pico amarillo,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,Presa Calles,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.4257517,22.1483772
Aechmophorus clarkii,achichilique pico naranja,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,La Cineguita,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.4191856,22.1619706
Actitis macularius,playero alzacolita,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Accipiter striatus velox,gavilán pecho rufo,BAJA CALIFORNIA,02,TIJUANA,02004,CERCA TIJUANA,MEXICO / BAJA CALIFORNIA,-117.0166667,32.5333333
Accipiter striatus suttoni,gavilán pecho rufo,COAHUILA DE ZARAGOZA,05,SALTILLO,05030,"LAS VACAS, 8 MI SE SALTILLO Y 3.5 MI SE EL DIAMANTE",MEXICO / COAHUILA DE ZARAGOZA,-100.8883333,25.33
Accipiter striatus,"gavilán pecho canela, gavilán pecho rufo",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Parque Ecológico el Cedazo, Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2571248,21.8688762
Accipiter gentilis atricapillus,gavilán azor,GUERRERO,12,CHILPANCINGO DE LOS BRAVO,12029,"Omiltemi, Camino a las Joyas",MEXICO / GUERRERO,-99.6666667,17.55
Accipiter gentilis apache,gavilán azor,GUERRERO,12,CHILPANCINGO DE LOS BRAVO,12029,Chilpancingo,MEXICO / GUERRERO,-99.5,17.55
Accipiter gentilis,gavilán azor,CHIHUAHUA,08,MADERA,08040,"31942, Madera MX-CHIH 29.20399, -108.17004",MEXICO / CHIHUAHUA / MADERA,-108.170039,29.203987
Accipiter cooperii,gavilán de Cooper,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
